exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes
2025,2,2025B2,RS,Governo do Estado do Rio Grande do Sul,43,52571284364.3,52.571284364300006
2026,1,2026B1,RS,Governo do Estado do Rio Grande do Sul,43,53964442047.28,53.96444204728
2026,2,2026B2,RS,Governo do Estado do Rio Grande do Sul,43,53237103661.18,53.23710366118
2022,1,2022B1,SC,Governo do Estado de Santa Catarina,42,30940743084.93,30.940743084930002
2022,2,2022B2,SC,Governo do Estado de Santa Catarina,42,32275932772.29,32.27593277229
2023,1,2023B1,SC,Governo do Estado de Santa Catarina,42,33650930658.36,33.650930658360004
2023,2,2023B2,SC,Governo do Estado de Santa Catarina,42,33546532948.86,33.54653294886
2024,1,2024B1,SC,Governo do Estado de Santa Catarina,42,37582949387.56,37.58294938756
2024,2,2024B2,SC,Governo do Estado de Santa Catarina,42,38689840120.61,38.68984012061
2025,1,2025B1,SC,Governo do Estado de Santa Catarina,42,43231164602.39,43.23116460239
2025,2,2025B2,SC,Governo do Estado de Santa Catarina,42,43780966031.58,43.78096603158
2026,1,2026B1,SC,Governo do Estado de Santa Catarina,42,45710097407.8,45.710097407800006
2026,2,2026B2,SC,Governo do Estado de Santa Catarina,42,46547554157.09,46.54755415709
2022,1,2022B1,SE,Governo do Estado de Sergipe,28,4314141057.04,4.31414105704
2022,2,2022B2,SE,Governo do Estado de Sergipe,28,4458632830.91,4.45863283091
2023,1,2023B1,SE,Governo do Estado de Sergipe,28,4586872713.25,4.58687271325
2023,2,2023B2,SE,Governo do Estado de Sergipe,28,4587198693.59,4.58719869359
2024,1,2024B1,SE,Governo do Estado de Sergipe,28,5141485751.2,5.141485751199999
2024,2,2024B2,SE,Governo do Estado de Sergipe,28,5250315537.36,5.25031553736
2025,1,2025B1,SE,Governo do Estado de Sergipe,28,5733616169.68,5.73361616968
2025,2,2025B2,SE,Governo do Estado de Sergipe,28,5830369156.38,5.83036915638
2026,1,2026B1,SE,Governo do Estado de Sergipe,28,6138102382.75,6.13810238275
2026,2,2026B2,SE,Governo do Estado de Sergipe,28,6159968404.85,6.159968404850001
2022,1,2022B1,SP,Governo do Estado de São Paulo,35,191443652112.93,191.44365211292998
2022,2,2022B2,SP,Governo do Estado de São Paulo,35,197764275686.41,197.76427568641
2023,1,2023B1,SP,Governo do Estado de São Paulo,35,203040451357.7,203.04045135770002
2023,2,2023B2,SP,Governo do Estado de São Paulo,35,199228447388.36,199.22844738836
2024,1,2024B1,SP,Governo do Estado de São Paulo,35,200589651753.38,200.58965175338
2024,2,2024B2,SP,Governo do Estado de São Paulo,35,204486488663.01,204.48648866301002
2025,1,2025B1,SP,Governo do Estado de São Paulo,35,227918992861.23,227.91899286123
2025,2,2025B2,SP,Governo do Estado de São Paulo,35,230171694290.44,230.17169429044
2026,1,2026B1,SP,Governo do Estado de São Paulo,35,238602048709.12,238.60204870912
2026,2,2026B2,SP,Governo do Estado de São Paulo,35,241308733358.5,241.3087333585
2022,1,2022B1,TO,Governo do Estado do Tocantins,17,4292628685.11,4.29262868511
2022,2,2022B2,TO,Governo do Estado do Tocantins,17,4429547554.59,4.42954755459
2023,1,2023B1,TO,Governo do Estado do Tocantins,17,4486940543,4.486940543
2023,2,2023B2,TO,Governo do Estado do Tocantins,17,4486023605.51,4.48602360551
2024,1,2024B1,TO,Governo do Estado do Tocantins,17,5248944636.67,5.24894463667
2024,2,2024B2,TO,Governo do Estado do Tocantins,17,5422315300.81,5.42231530081
2025,1,2025B1,TO,Governo do Estado do Tocantins,17,6002599098.18,6.00259909818
2025,2,2025B2,TO,Governo do Estado do Tocantins,17,6086185012.6,6.0861850126000006
2026,1,2026B1,TO,Governo do Estado do Tocantins,17,6409813545.17,6.4098135451700005
2026,2,2026B2,TO,Governo do Estado do Tocantins,17,6495327985.2,6.495327985199999
