exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes,valor_12m_ano_anterior,crescimento_yoy,crescimento_yoy_pct
2026,1,2026B1,PE,Governo do Estado de Pernambuco,26,27764039827.2,27.7640398272,26636863074.22,0.04231642253966905,4.231642253966905
2026,2,2026B2,PE,Governo do Estado de Pernambuco,26,28104142644.39,28.10414264439,26787642686.6,0.049145793573263985,4.9145793573263985
2022,1,2022B1,PI,Governo do Estado do Piauí,22,5726070926.4,5.726070926399999,NA,NA,NA
2022,2,2022B2,PI,Governo do Estado do Piauí,22,5683373336.69,5.68337333669,NA,NA,NA
2023,1,2023B1,PI,Governo do Estado do Piauí,22,5745918756.64,5.74591875664,5726070926.4,0.003466221514737633,0.3466221514737633
2023,2,2023B2,PI,Governo do Estado do Piauí,22,5744148889.43,5.74414888943,5683373336.69,0.010693570374420647,1.0693570374420647
2024,1,2024B1,PI,Governo do Estado do Piauí,22,7010687069.39,7.01068706939,5745918756.64,0.22011594077769203,22.011594077769203
2024,2,2024B2,PI,Governo do Estado do Piauí,22,7239729034.34,7.23972903434,5744148889.43,0.2603658389952368,26.03658389952368
2025,1,2025B1,PI,Governo do Estado do Piauí,22,7763023360.18,7.76302336018,7010687069.39,0.10731277595812894,10.731277595812895
2025,2,2025B2,PI,Governo do Estado do Piauí,22,7872615140.82,7.87261514082,7239729034.34,0.08741847981851936,8.741847981851937
2026,1,2026B1,PI,Governo do Estado do Piauí,22,8698196515.3,8.6981965153,7763023360.18,0.12046507033804876,12.046507033804875
2026,2,2026B2,PI,Governo do Estado do Piauí,22,8900032623.95,8.90003262395,7872615140.82,0.13050523425218352,13.050523425218351
2022,1,2022B1,PR,Governo do Estado do Paraná,41,40120946649.57,40.12094664957,NA,NA,NA
2022,2,2022B2,PR,Governo do Estado do Paraná,41,41690328626.03,41.69032862603,NA,NA,NA
2023,1,2023B1,PR,Governo do Estado do Paraná,41,41208137872.92,41.20813787292,40120946649.57,0.027097845742422244,2.7097845742422244
2023,2,2023B2,PR,Governo do Estado do Paraná,41,40782017668.29,40.78201766829,41690328626.03,-0.021787090379826846,-2.1787090379826846
2024,1,2024B1,PR,Governo do Estado do Paraná,41,46097934201.02,46.097934201019996,41208137872.92,0.11866093884609463,11.866093884609462
2024,2,2024B2,PR,Governo do Estado do Paraná,41,47418252574.7,47.4182525747,40782017668.29,0.16272453610283222,16.272453610283222
2025,1,2025B1,PR,Governo do Estado do Paraná,41,53140486685.37,53.14048668537,46097934201.02,0.15277371115242255,15.277371115242255
2025,2,2025B2,PR,Governo do Estado do Paraná,41,53442621631.81,53.44262163181,47418252574.7,0.12704747075231326,12.704747075231326
2026,1,2026B1,PR,Governo do Estado do Paraná,41,53191344559.61,53.19134455961,53140486685.37,9.570456992822329e-4,0.0957045699282233
2026,2,2026B2,PR,Governo do Estado do Paraná,41,54114864066.78,54.11486406678,53442621631.81,0.012578769799157286,1.2578769799157286
2022,1,2022B1,RJ,Governo do Estado do Rio de Janeiro,33,53766713856.47,53.76671385647,NA,NA,NA
2022,2,2022B2,RJ,Governo do Estado do Rio de Janeiro,33,53893143472.82,53.89314347282,NA,NA,NA
2023,1,2023B1,RJ,Governo do Estado do Rio de Janeiro,33,49752793285.44,49.75279328544,53766713856.47,-0.07465437783207551,-7.465437783207552
2023,2,2023B2,RJ,Governo do Estado do Rio de Janeiro,33,49308978017.66,49.30897801766,53893143472.82,-0.0850602722305841,-8.50602722305841
2024,1,2024B1,RJ,Governo do Estado do Rio de Janeiro,33,51392540426.08,51.392540426080004,49752793285.44,0.03295789105211644,3.295789105211644
