exercicio,periodo,uf,instituicao,cod_ibge,valor_bimestre,valor_bimestre_bilhoes,periodo_ref,valor_bimestre_ano_anterior,crescimento_yoy,crescimento_yoy_pct
2025,1,PR,Governo do Estado do Paraná,41,9174247845.6,9.1742478456,2025B1,7708710115.7,0.1901145208347117,19.01145208347117
2025,2,PR,Governo do Estado do Paraná,41,8602581095,8.602581095,2025B2,8300446148.559999,0.0363998441809561,3.63998441809561
2026,1,PR,Governo do Estado do Paraná,41,8982769811.02,8.98276981102,2026B1,9174247845.6,-0.020871251551355607,-2.0871251551355607
2026,2,PR,Governo do Estado do Paraná,41,9526100602.17,9.52610060217,2026B2,8602581095,0.10735376940611108,10.735376940611108
2022,1,RJ,Governo do Estado do Rio de Janeiro,33,8803019583.79,8.80301958379,2022B1,NA,NA,NA
2022,2,RJ,Governo do Estado do Rio de Janeiro,33,8498187449.459999,8.49818744946,2022B2,NA,NA,NA
2023,1,RJ,Governo do Estado do Rio de Janeiro,33,7782274592.66,7.782274592659999,2023B1,8803019583.79,-0.11595396118504775,-11.595396118504775
2023,2,RJ,Governo do Estado do Rio de Janeiro,33,8054372181.68,8.05437218168,2023B2,8498187449.459999,-0.052224697374520734,-5.222469737452073
2024,1,RJ,Governo do Estado do Rio de Janeiro,33,9398997618.61,9.39899761861,2024B1,7782274592.66,0.20774427922073624,20.774427922073624
2024,2,RJ,Governo do Estado do Rio de Janeiro,33,8810754578.789999,8.810754578789998,2024B2,8054372181.68,0.09390954130856044,9.390954130856045
2025,1,RJ,Governo do Estado do Rio de Janeiro,33,10284530071.380001,10.28453007138,2025B1,9398997618.61,0.09421562688947249,9.42156268894725
2025,2,RJ,Governo do Estado do Rio de Janeiro,33,10724498064.48,10.724498064479999,2025B2,8810754578.789999,0.21720540148705614,21.720540148705613
2026,1,RJ,Governo do Estado do Rio de Janeiro,33,12619438447.79,12.619438447790001,2026B1,10284530071.380001,0.2270311195751793,22.70311195751793
2026,2,RJ,Governo do Estado do Rio de Janeiro,33,12415637047.38,12.415637047379999,2026B2,10724498064.48,0.15768933638965588,15.768933638965589
2022,1,RN,Governo do Estado do Rio Grande do Norte,24,1158121857.99,1.1581218579900001,2022B1,NA,NA,NA
2022,2,RN,Governo do Estado do Rio Grande do Norte,24,1212385573.87,1.2123855738699998,2022B2,NA,NA,NA
2023,1,RN,Governo do Estado do Rio Grande do Norte,24,1233548316.63,1.23354831663,2023B1,1158121857.99,0.06512825754874174,6.512825754874174
2023,2,RN,Governo do Estado do Rio Grande do Norte,24,1234655179.27,1.23465517927,2023B2,1212385573.87,0.018368418331566216,1.8368418331566216
2024,1,RN,Governo do Estado do Rio Grande do Norte,24,1413122982.29,1.41312298229,2024B1,1233548316.63,0.1455757048500459,14.55757048500459
2024,2,RN,Governo do Estado do Rio Grande do Norte,24,1272587743.4299998,1.27258774343,2024B2,1234655179.27,0.030723204986211394,3.0723204986211394
2025,1,RN,Governo do Estado do Rio Grande do Norte,24,1523529280,1.52352928,2025B1,1413122982.29,0.07812929171322658,7.812929171322658
